symbol,gics8,kmeans.text_068
ETE,10102040,23
HES,10102020,23
KMI,10102040,23
MPLX,10102040,23
MRO,10102020,23
OKE,10102040,23
OKS,10102040,23
PAA,10102040,23
PAGP,10102040,23
SEMG,10102040,23
SEP,10102040,23
SPP,10102020,23
SXE,10102040,23
TEGP,10102040,23
TEP,10102040,23
TRGP,10102040,23
WES,10102040,23
WGP,10102040,23
WPZ,10102040,23
AJRD,20101010,24
ALOG,35101010,24
ALOT,45202030,24
ARTX,20101010,24
ASCMA,25302020,24
ATRO,20101010,24
AVAV,20101010,24
BA,20101010,24
COL,20101010,24
CUB,20101010,24
DRAD,35102015,24
DYSL,45203010,24
ESL,20101010,24
FBHS,20102010,24
FLIR,45203010,24
FSS,20106010,24
GD,20101010,24
HRS,45201020,24
IDN,45203010,24
ISNS,45203010,24
ITI,45203010,24
KTOS,20101010,24
LDOS,45102010,24
LLL,20101010,24
LMT,20101010,24
MG,20202020,24
MTSC,45203010,24
NOC,20101010,24
NSSC,45203010,24
OA,20101010,24
OSIS,45203010,24
RDNT,35102015,24
ROP,20105010,24
RTN,20101010,24
TDY,20101010,24
ULBI,20104010,24
UTX,20101010,24
VAR,35101010,24
AAON,20102010,25
AOS,20102010,25
APU,55102010,25
CCC,15101010,25
CMP,15104020,25
COKE,30201030,25
COT,30201030,25
CUO,20102010,25
DCI,20106020,25
DXYN,25201020,25
ERII,20106020,25
EVI,20107010,25
FGP,55102010,25
FIX,20103010,25
FUL,15101050,25
GRC,20106020,25
HDS,20107010,25
LII,20102010,25
LXU,15101020,25
MAS,20102010,25
MBII,15101030,25
MOD,25101010,25
MWA,20106020,25
RKDA,30202010,25
ROCK,20102010,25
RXN,20106020,25
SERV,25302020,25
SGU,55102010,25
WHR,25201040,25
WMAR,25504040,25
WMS,20102010,25
WSO,20107010,25
AAPL,45202030,26
ADBE,45103010,26
AHC,25401040,26
AMBA,45301020,26
APPS,45103010,26
ATVI,45103030,26
AVID,45202030,26
BCOV,45101010,26
BDR,45201020,26
BKS,25504040,26
BLIN,45101010,26
BOX,45101010,26
BTN,25401030,26
BV,45101010,26
CCUR,45202030,26
CIDM,25401030,26
CLRO,45201020,26
DAKT,45203010,26
DGLY,45203010,26
DLB,45203015,26
DMRC,45103010,26
EA,45103030,26
ENT,25401030,26
FB,45101010,26
