symbol,gics8,hier.text_008
COKE,30201030,3
COL,20101010,6
COLB,40101015,1
COLL,35202010,7
COLM,25203010,7
COMM,45201020,6
CONE,60101080,0
CONN,25504020,2
COO,35101020,1
COOL,45103030,7
COP,10102020,2
COR,60101080,0
CORE,25501010,3
CORI,35202010,7
CORR,60101080,0
CORT,35202010,0
COST,30101040,0
COT,30201030,3
COTY,30302010,3
COUP,45101010,5
COVS,45103020,1
COWN,40203020,4
CPB,30202030,2
CPE,10102020,0
CPF,40101015,6
CPHC,25301010,2
CPK,55102010,6
CPLA,25302010,4
CPN,55105010,0
CPRT,20201070,4
CPRX,35201010,0
CPS,25101010,0
CPSI,35103010,5
CPSS,40202010,4
CPST,20104020,1
CPT,60101060,0
CPTA,40203010,1
CQH,10102040,0
CQP,10102040,2
CR,20106020,2
CRAI,20202020,5
CRAY,45202030,4
CRBP,35201010,0
CRC,10102020,0
CRCM,45101010,1
CRDS,45202030,0
CREE,45301020,3
CRI,25203010,3
CRIS,35201010,0
CRK,10102020,0
CRL,35203010,4
CRM,45103010,1
CRMD,35201010,7
CRMT,25504050,2
CROX,25203020,2
CRR,10101020,6
CRS,15104050,3
CRT,10102020,0
CRTN,45102010,4
CRUS,45301020,3
CRVL,35102015,5
CRWS,25203030,3
CRY,35101010,4
CRZO,10102020,0
CSBK,40102010,1
CSCO,45201020,1
CSFL,40101015,1
CSGP,45101010,1
CSGS,45102020,5
CSII,35101010,7
CSL,20105010,2
CSLT,35103010,1
CSOD,45101010,5
CSPI,45102010,4
CSS,25201050,3
CST,25504050,6
CSU,35102020,4
CSV,25302020,4
CSWC,40203010,1
CSX,20304010,1
CTAS,20201070,4
CTB,25101020,2
CTBI,40101015,1
CTG,45102010,4
CTHR,25203010,0
CTIC,35201010,0
CTL,50101020,4
CTLT,35202010,6
CTO,60102010,2
CTRE,60101050,0
CTRL,45203010,1
CTRN,25504010,7
CTRV,35202010,0
CTS,45203020,3
CTSH,45102010,4
CTSO,35101010,7
CTT,60101080,0
CTWS,55104010,6
CTXS,45103010,1
CUB,20101010,4
CUBE,60101080,0
CUBI,40101015,1
CUDA,45103020,1
CUI,45203010,2
CUNB,40101015,1
CUO,20102010,2
CUR,35201010,0
CUTR,35101010,1
CUZ,60101040,0
CVA,20201050,0
CVBF,40101015,1
CVCO,25201030,1
CVCY,40101015,1
CVEO,20201070,5
CVG,45102020,1
CVGI,20106010,2
CVGW,30202030,3
CVI,10102030,3
CVLT,45103020,5
CVLY,40101015,1
CVO,20201010,2
CVRR,10102030,0
CVS,30101010,4
CVTI,20304020,4
CVU,20101010,5
CVV,45301010,2
CVX,10102010,3
CW,20101010,6
CWAY,40102010,6
CWST,20201050,4
CWT,55104010,4
CXO,10102020,0
CXP,60101040,0
CXW,60101080,1
CY,45301020,3
CYBE,45301010,3
CYCC,35201010,0
CYH,35102020,4
CYTK,35201010,0
CYTR,35201010,0
CYTX,35201010,0
CZNC,40101015,1
CZR,25301010,0
D,55103010,2
DAIO,45203020,1
DAKT,45203010,6
DAL,20302010,2
DAN,25101010,2
DAR,30202010,1
DATA,45103020,1
DAVE,25301040,0
DBD,45202030,1
DCI,20106020,3
DCO,20101010,6
DCOM,40102010,0
DCT,60101020,6
DD,15101020,2
DDD,45202030,1
DDE,25301010,0
DDR,60101070,0
DDS,25503010,2
DE,20106015,6
DEA,60101040,4
DECK,25203020,2
DEI,60101040,6
DEL,15105010,2
DENN,25301040,0
DEPO,35202010,5
DERM,35202010,0
DEST,25504010,7
DF,30202030,3
DFS,40202010,4
DFT,60101080,0
DG,25503020,3
DGAS,55102010,2
DGI,20101010,1
DGICA,40301040,2
DGII,45201020,1
DGLY,45203010,3
DGX,35102015,4
DHI,25201030,6
DHIL,40203010,1
DHR,35101010,6
DHX,45101010,4
DIN,25301040,2
DIOD,45301020,3
DIS,25401030,2
DISCA,25401020,2
DISH,25401025,4
DJCO,25401040,6
DK,10102030,3
DKL,10102040,6
DKS,25504040,1
DLA,25203010,3
DLB,45203015,1
DLHC,20202010,4
DLR,60101080,1
DLTR,25503020,2
DLX,20201010,4
DM,10102040,0
DMLP,10102020,0
DMRC,45103010,5
DNB,20202020,5
DNKN,25301040,2
DNOW,20107010,5
DNR,10102020,0
DO,10101010,1
DOC,60101050,0
DOOR,20102010,2
DOV,20106020,6
DOW,15101020,2
DPLO,35102015,4
DPS,30201030,2
DPW,20104010,6
DPZ,25301040,2
DRAD,35102015,4
DRAM,45202030,1
DRE,60101020,5
DRH,60101030,0
DRI,25301040,2
DRNA,35201010,0
DRQ,10101020,1
DRRX,35202010,7
DSPG,45301020,2
DSS,45103020,6
DST,45102020,4
DSW,25504010,2
DTE,55103010,2
DUK,55101010,2
DV,25302010,6
DVA,35102015,4
DVAX,35201010,0
DVCR,35102020,4
DVD,25301030,0
DVN,10102020,0
DWCH,45103010,1
DWSN,10101020,4
DX,40204010,0
DXCM,35101010,7
DXLG,25504010,0
DXPE,20107010,6
DXYN,25201020,3
DY,20103010,4
DYNT,35101010,3
DYSL,45203010,2
EA,45103030,0
EARN,40204010,0
EAT,25301040,0
EBAY,45101010,0
EBF,20201010,3
EBIO,35201010,0
EBIX,45103010,1
EBMT,40101015,1
EBS,35201010,3
EBSB,40102010,1
EBTC,40101015,1
ECHO,20301010,5
ECL,15101050,6
ECOL,20201050,4
ECOM,45101010,3
ECPG,40202010,0
ECR,10102020,0
ECT,10102020,0
ECYT,35202010,0
ED,55103010,2
EDGW,45102010,4
EDR,60101060,4
EDUC,25501010,2
EE,55101010,0
EEFT,45102020,4
EEI,20201050,1
EEP,10102040,2
EEQ,10102040,6
EFC,40203010,0
EFII,45202030,6
EFOI,20104010,3
EFSC,40101015,4
EFX,20202020,4
EGAN,45101010,1
EGAS,55102010,2
EGBN,40101015,4
EGHT,45103010,5
EGL,20101010,1
EGLT,35202010,7
EGN,10102020,0
EGOV,45101010,4
EGP,60101020,0
EGRX,35201010,7
EGY,10102020,0
EHTH,40301010,1
EIG,40301040,7
EIGI,45101010,6
EIX,55101010,0
EL,30302010,3
ELGX,35101020,3
ELLI,45103010,1
ELMD,35101010,3
ELON,45203020,6
ELS,60101060,2
