symbol,mc
DEST,51.47M  
DF,1.65B  
DFS,22.85B  
DFT,4.63B  
DG,19.78B  
DGAS,214.5M  
DGI,1.94B  
DGICA,425.43M  
DGII,246.8M  
DGLY,21.87M  
DGX,14.49B  
DHI,12.69B  
DHIL,636.58M  
DHR,57.02B  
DHX,141.64M  
DIN,893.61M  
DIOD,1.25B  
DIS,168.26B  
DISCA,15.28B  
DISH,29.6B  
DJCO,292.43M  
DK,1.57B  
DKL,763.37M  
DKS,4.65B  
DLA,142.8M  
DLB,5.16B  
DLHC,54.35M  
DLR,18.62B  
DLTR,18.85B  
DLX,3.28B  
DM,2.91B  
DMLP,509.21M  
DMRC,308.07M  
DNB,3.86B  
DNKN,5.13B  
DNOW,1.91B  
DNR,687.31M  
DO,1.84B  
DOC,3.19B  
DOOR,2.24B  
DORM,2.81B  
DOV,12.94B  
DOW,74.88B  
DPLO,1.18B  
DPRX,14.6M  
DPS,16.71B  
DPW,4.9M  
DPZ,9.42B  
DRAD,74.92M  
DRAM,5.49M  
DRE,10.25B  
DRH,2.23B  
DRI,10.81B  
DRNA,68M  
DRQ,2.03B  
DRRX,174.62M  
DSPG,272.68M  
DSS,13.24M  
DST,3.66B  
DSW,1.4B  
DTE,19.02B  
DUK,58.35B  
DV,2.3B  
DVA,12.57B  
DVAX,268.36M  
DVCR,70.92M  
DVD,71.94M  
DVN,20.18B  
DWCH,99.8M  
DWSN,94.1M  
DX,331.15M  
DXCM,5.84B  
DXLG,117.92M  
DXPE,668.67M  
DXR,26.86M  
DXYN,63.77M  
DY,3.35B  
DYN,1.2B  
DYNT,9.41M  
DYSL,21.26M  
EA,33.18B  
EARN,173.47M  
EAT,2.01B  
EBAY,36.62B  
EBF,422.18M  
EBIO,36.56M  
EBIX,1.73B  
EBMT,72.75M  
EBS,1.22B  
EBSB,797.1M  
EBTC,346.13M  
ECHO,533.37M  
ECL,36.86B  
ECOL,1.08B  
ECOM,301.48M  
ECPG,987.03M  
ECR,648.58M  
ECT,36.09M  
ECTE,480.17k  
ECYT,110.85M  
ED,24.54B  
EDGW,97.04M  
EDR,2.83B  
EDUC,31.64M  
EE,2.11B  
EEFT,4.38B  
EEI,47.88M  
EEP,7.27B  
EEQ,1.41B  
EFC,547.26M  
EFII,2.19B  
EFOI,37.46M  
EFSC,959.23M  
EFX,16.39B  
EGAN,43.37M  
EGAS,133.6M  
EGBN,1.94B  
EGHT,1.2B  
EGL,976.51M  
EGLE,369.78M  
EGLT,72.06M  
EGN,5.69B  
EGOV,1.35B  
EGP,2.72B  
EGRX,1.22B  
EGY,66.21M  
EHTH,331.02M  
EIG,1.29B  
EIGI,1.07B  
EIX,25.48B  
EL,33.98B  
ELGX,368.41M  
ELLI,3.68B  
ELMD,37.2M  
ELON,30.21M  
ELS,7.75B  
ELSE,13.48M  
ELY,1.19B  
EMAN,79.13M  
EMCI,558.69M  
EME,3.75B  
EMES,394.85M  
EMKR,266.93M  
EML,181.18M  
EMMS,39.85M  
EMN,11.46B  
EMR,38.28B  
ENBL,7.02B  
ENG,37.99M  
ENLC,3.27B  
ENLK,6.13B  
ENOC,173.9M  
ENPH,61.02M  
ENR,3.25B  
ENRJ,2.44M  
ENS,3.47B  
ENSG,951.86M  
ENSV,18.38M  
ENT,280.67M  
ENTA,619.83M  
ENTG,3.31B  
ENTL,284.48M  
ENV,1.56B  
ENZ,417.56M  
ENZN,10.21M  
EOG,54.15B  
EPAM,4.26B  
EPAY,933.32M  
EPD,58.06B  
EPE,1.15B  
EPM,261.35M  
EPR,5.24B  
EPRS,N/A  
EPZM,1.04B  
EQC,3.85B  
EQGP,7.02B  
EQIX,33.25B  
EQM,5.97B  
EQR,24.97B  
EQT,9.78B  
ERA,215.47M  
ERI,1.49B  
ERIE,6.04B  
ERII,426.09M  
ERN,387.5M  
ERS,57.75M  
ES,19.05B  
ESBA,6.23B  
ESBK,53.28M  
ESCA,170.01M  
ESE,1.44B  
ESIO,262.09M  
ESL,2.77B  
ESMC,1.21M  
ESP,54.59M  
ESPR,752.47M  
ESRT,6.25B  
ESRX,35.68B  
ESS,17.27B  
ESSA,146.45M  
ESSX,5.16M  
ESTE,294.86M  
ESXB,172.47M  
ETE,20.13B  
ETFC,9.36B  
ETH,765.9M  
ETM,394.91M  
ETP,26.85B  
ETR,13.58B  
ETRM,31.56M  
ETSY,1.55B  
EV,4.98B  
EVA,730.3M  
EVBS,135.05M  
EVC,505.91M  
EVEP,64.18M  
EVER,2.48B  
EVHC,6.49B  
EVI,211.53M  
EVLV,71.33M  
EVOK,40.47M  
EVOL,64.25M  
EVR,3.16B  
EVTC,1.2B  
EW,23.68B  
EWBC,7.85B  
EXA,190.84M  
EXAC,431.51M  
EXAR,664.99M  
EXAS,3.39B  
EXC,32.46B  
EXEL,5.76B  
EXLS,1.69B  
EXP,4.82B  
EXPD,9.5B  
EXPE,21.37B  
EXPO,1.56B  
EXPR,583.97M  
EXR,10.06B  
EXTR,979.38M  
EXXI,886.75M  
EYES,64.26M  
EZPW,461.48M  
F,43.28B  
FAC,50.22M  
FAF,4.69B  
FALC,11.1M  
FANG,10.12B  
FARM,512.84M  
FARO,582.55M  
FAST,12.61B  
FATE,164.36M  
FB,429.1B  
FBC,1.65B  
FBHS,9.74B  
FBIO,212.9M  
FBIZ,202M  
FBMS,254.67M  
FBNC,694.03M  
FBNK,387.76M  
FBP,1.18B  
FBRC,118.2M  
FC,282M  
FCAP,105.47M  
FCBC,424.4M  
FCCO,135.95M  
FCCY,138.07M  
FCE.A,N/A  
FCEL,55.44M  
FCF,1.2B  
FCFS,2.59B  
FCH,999.63M  
FCN,1.4B  
FCNCA,3.98B  
FCSC,37.77M  
FCX,16.97B  
FDEF,529.21M  
FDP,2.71B  
FDS,6.36B  
FDUS,377.51M  
FDX,50.63B  
FE,12.53B  
FEIM,84.24M  
FELE,1.73B  
FELP,703.44M  
FENX,15.33M  
FET,1.66B  
FEYE,2.66B  
FF,613.81M  
FFBC,1.58B  
FFG,1.54B  
FFIC,777.13M  
FFIN,2.54B  
FFIV,8.23B  
FFKT,289.96M  
FFNM,28.96M  
FFNW,168.41M  
FGEN,1.87B  
FGL,1.68B  
FGP,560.39M  
FHCO,32.91M  
FHN,4.01B  
FIBK,1.62B  
FICO,4.12B  
FIG,3.07B  
FII,2.61B  
FINL,563.18M  
FIS,27.5B  
FISI,455.17M  
FISV,25.63B  
FITB,18.14B  
FIVE,2.9B  
FIVN,1.18B  
FIX,1.29B  
FIZZ,4.07B  
FL,7.71B  
FLIC,647.82M  
FLIR,5.06B  
FLKS,59.84M  
FLL,53.5M  
FLO,3.87B  
FLR,6.41B  
FLS,6.41B  
FLT,12.53B  
FLWS,669.66M  
FLXN,559.57M  
FLXS,389.51M  
FMBI,2.51B  
FMC,9.96B  
FMI,1.33B  
FMNB,368.11M  
FMSA,1.32B  
FNB,4.33B  
FNBC,2.44M  
FNF,11.21B  
FNFV,893.31M  
FNGN,2.48B  
FNHC,207.86M  
FNJN,68.59M  
FNLC,273.89M  
FNSR,2.63B  
FNWB,195.9M  
FOE,1.43B  
FOLD,1.11B  
FONR,150.97M  
FOR,592.28M  
FORD,9.57M  
FORM,955.61M  
FORR,687.87M  
FOSL,598.29M  
FOXA,50.11B  
FOXF,1.21B  
FPI,380.93M  
FPO,659.18M  
FPP,3.73M  
FPRX,844.58M  
FR,3.47B  
FRAN,488M  
