symbol,gics8,text_068
SONC,25301040,15
STKS,25301040,15
TA,25504050,15
TACO,25301040,15
TAST,25301040,15
TXRH,25301040,15
WEN,25301040,15
YUM,25301040,15
ZOES,25301040,15
ASNA,25504010,16
BGFV,25504040,16
BKE,25504010,16
BOOT,25504010,16
CAB,25504040,16
CHKE,25203010,16
COLM,25203010,16
CROX,25203020,16
DECK,25203020,16
DKS,25504040,16
DLA,25203010,16
DSW,25504010,16
EBF,20201010,16
ESCA,25202010,16
FINL,25504010,16
GCO,25504010,16
GIII,25203010,16
HBI,25203010,16
HIBB,25504040,16
ICON,25203010,16
KSS,25503010,16
LE,25502020,16
NKE,25203020,16
OXM,25203010,16
PLCE,25504010,16
PVH,25203010,16
QVCA,25502020,16
RCKY,25203020,16
SCVL,25504010,16
SGC,25203010,16
SKX,25203020,16
SPWH,25504040,16
SQBG,25203010,16
TJX,25504010,16
VFC,25203010,16
VSTO,25202010,16
WEYS,25501010,16
WMAR,25504040,16
WWW,25203020,16
BDE,25202010,16
AAOI,45201020,17
APH,45203015,17
AVT,45203030,17
AVX,45203015,17
AXTI,45301010,17
CCMP,45301010,17
CLFD,45201020,17
COHR,45203010,17
CTS,45203020,17
CYBE,45301010,17
DYSL,45203010,17
EMKR,45201020,17
ESIO,45203010,17
FEIM,45203010,17
FNSR,45201020,17
GIGA,45203010,17
GLW,45203015,17
IEC,45203020,17
IIN,45203015,17
IIVI,45203015,17
IPGP,45203020,17
KEM,45203020,17
KN,45203015,17
LFUS,45203015,17
LGL,45203015,17
LPTH,45203010,17
LUNA,45203010,17
MEI,45203020,17
MKSI,45301010,17
MVIS,45203010,17
NANO,45301010,17
NPTN,45301020,17
NVEC,45301020,17
OCC,45201020,17
OCLR,45201020,17
PKE,45203020,17
RBCN,45301010,17
RFIL,45203020,17
SEV,45301020,17
SGMA,45203020,17
SRI,25101010,17
UTEK,45301010,17
ATO,55102010,18
BKH,55103010,18
BWP,10102040,18
CELP,20201050,18
CLNE,10102030,18
CNP,55103010,18
CPK,55102010,18
D,55103010,18
DGAS,55102010,18
DM,10102040,18
DTE,55103010,18
EGAS,55102010,18
ETE,10102040,18
MDU,55103010,18
NFG,55102010,18
NGS,10101020,18
NI,55103010,18
NJR,55102010,18
NWE,55103010,18
NWN,55102010,18
OGE,55101010,18
OGS,55102010,18
OKE,10102040,18
OKS,10102040,18
RGCO,55102010,18
SCG,55103010,18
SEP,10102040,18
SO,55101010,18
SPKE,55101010,18
SRE,55103010,18
SWX,55102010,18
TCP,10102040,18
UGI,55102010,18
UNT,10101010,18
UTL,55103010,18
WEC,55103010,18
WGL,55102010,18
WMB,10102040,18
XEL,55101010,18
AAMC,60102040,19
AB,40203010,19
AMG,40203010,19
AMP,40203010,19
AMTD,40203020,19
APAM,40203010,19
ARES,40203010,19
BEN,40203010,19
BGCP,40203020,19
BK,40203010,19
BLK,40203010,19
BPFH,40101015,19
BX,40203010,19
CBG,60102040,19
CME,40203040,19
CNS,40203010,19
COWN,40203020,19
DEA,60101040,19
DHIL,40203010,19
ENV,45101010,19
ETFC,40203020,19
EV,40203010,19
EVR,40203020,19
FBRC,40203020,19
FIG,40203010,19
FII,40203010,19
FNGN,40203010,19
FSAM,40203010,19
GBL,40203010,19
GCAP,40203020,19
GHL,40203020,19
GROW,40203010,19
GS,40203020,19
HF,60102040,19
HNNA,40203010,19
IBKR,40203020,19
ICE,40203040,19
IFMI,40203030,19
INTL,40203020,19
ITG,40203020,19
IVZ,40203010,19
JLL,60102040,19
JMP,40203030,19
JNS,40203010,19
KCG,40203020,19
LM,40203010,19
LPLA,40203020,19
LTS,40203020,19
LUK,40201030,19
MDLY,40203010,19
MKTX,40203040,19
MN,40203010,19
MORN,40203040,19
MS,40203020,19
MSCI,40203040,19
NDAQ,40203040,19
NHLD,40203020,19
NTRS,40203010,19
OAK,40203010,19
OPY,40203020,19
PJC,40203020,19
PZN,40203010,19
RJF,40203020,19
SAMG,40203010,19
SCHW,40203020,19
SEIC,40203010,19
SF,40203020,19
SIEB,40203020,19
SSNC,45103010,19
STT,40203010,19
TROW,40203010,19
UMBF,40101015,19
VALU,40203040,19
VIRT,40203020,19
VOYA,40201020,19
WDR,40203010,19
WHG,40203010,19
OZM,40203010,19
CHEF,30101020,20
CLUB,25301030,20
COKE,30201030,20
COT,30201030,20
DPS,30201030,20
FIZZ,30201030,20
JMBA,25301040,20
KO,30201030,20
MYCC,25301030,20
OI,15103010,20
PSMT,30101040,20
REED,30201030,20
SBUX,25301040,20
ADM,30202010,21
AKRX,35202010,21
BCPC,15101050,21
CDXS,15101050,21
CENTA,30301010,21
CL,30301010,21
CMP,15104020,21
DAR,30202010,21
FMC,15101030,21
HSIC,35102010,21
HSKA,35202010,21
ICCC,35201010,21
IDXX,35101010,21
INGR,30202010,21
IPI,15101030,21
JAGX,35202010,21
LLY,35202010,21
MBII,15101030,21
MED,30302010,21
MJN,30202030,21
MOS,15101030,21
MRK,35202010,21
MTEX,30302010,21
MYOS,30302010,21
NEOG,35101020,21
ODC,30301010,21
OME,30202030,21
PAHC,35202010,21
PDCO,35102010,21
RELV,30302010,21
RIBT,30202030,21
SPB,30301010,21
USNA,30302010,21
WOOF,35102020,21
ZTS,35202010,21
AEIS,45301010,22
AETI,20104010,22
AIT,20107010,22
AMSC,20104010,22
AT,55105010,22
AXE,45203030,22
BGC,20104010,22
CAT,20106010,22
CPN,55105010,22
CPST,20104020,22
CUI,45203010,22
DPW,20104010,22
EMR,20104010,22
ENS,20104010,22
ESP,20104010,22
ETR,55101010,22
FCEL,20104010,22
FSLR,45301020,22
GE,20105010,22
IESC,20103010,22
IPWR,20104010,22
LMRK,60102020,22
MIC,20305010,22
MTRX,10101020,22
MTZ,20103010,22
OTTR,55101010,22
PLPC,20104010,22
PLUG,20104010,22
POWL,20104010,22
PWR,20103010,22
RBC,20104010,22
ROCK,20102010,22
SPWR,45301020,22
TERP,55105020,22
THR,20104010,22
TWIN,20106010,22
UQM,25101010,22
VICR,20104010,22
AMH,60101060,23
AVHI,25201030,23
BZH,25201030,23
CCS,25201030,23
CHCI,25201030,23
CVCO,25201030,23
DHI,25201030,23
GRBK,25201030,23
HOV,25201030,23
KBH,25201030,23
LEN,25201030,23
LGIH,25201030,23
MDC,25201030,23
MHO,25201030,23
MTH,25201030,23
NVR,25201030,23
NWHM,25201030,23
PHM,25201030,23
TMHC,25201030,23
TOL,25201030,23
TPH,25201030,23
UCP,25201030,23
UMH,60101060,23
WLH,25201030,23
AAPL,45202030,24
ACTG,20202020,24
BTN,25401030,24
CDNS,45103010,24
CIDM,25401030,24
CRDS,45202030,24
DLB,45203015,24
DRAM,45202030,24
DSS,45103020,24
EA,45103030,24
IDCC,45201020,24
IMMR,45202030,24
INVT,45201020,24
MARA,20202020,24
MDVX,35101010,24
MHH,20202010,24
MU,45301020,24
NLST,45203020,24
NTIP,45201020,24
PCO,20202020,24
QCOM,45301020,24
RDI,25401030,24
RMBS,45301020,24
RPXC,20202020,24
SPEX,20202020,24
STRP,50101010,24
WDC,45202030,24
AMRK,40201040,25
AUMN,15104040,25
CDE,15104045,25
CLF,15104050,25
FCX,15104025,25
GMO,15104020,25
GORO,15104030,25
HL,15104045,25
LODE,15104030,25
MMI,60102040,25
NEM,15104030,25
SCCO,15104025,25
SGM,40102010,25
TAHO,15104030,25
UAMY,15104020,25
UEC,10102050,25
URG,10102050,25
URRE,10102050,25
VGZ,15104030,25
AIRI,20101010,26
AJRD,20101010,26
