symbol,gics8,textgics_015
SAIC,45102010,2
SATS,45201020,2
SCSC,45203030,2
SHEN,50102010,2
SHOR,45201020,2
SIGM,45301020,2
SMCI,45202030,2
SMSI,45103010,2
SNCR,45103010,2
SNPS,45103010,2
SNX,45203030,2
SONS,45201020,2
SPLK,45103010,2
SPOK,50102010,2
SPRT,45101010,2
SPSC,45101010,2
SREV,45102010,2
SRT,45102020,2
SSNC,45103010,2
SSNI,45103010,2
STRM,35103010,2
SYKE,45102020,2
SYMC,45103020,2
SYNC,45101010,2
SYNT,45102020,2
T,50101020,2
TCCO,45201020,2
TCS,25504040,2
TDC,45102010,2
TDS,50102010,2
TECD,45203030,2
TESS,45201020,2
TIVO,45103020,2
TRMB,45203020,2
TRR,20201050,2
TSS,45102020,2
TTEC,45102020,2
TTEK,20201050,2
TTGT,45101010,2
TWOU,45101010,2
TYL,45103010,2
UBNT,45201020,2
UEIC,25201010,2
UIS,45102010,2
ULTI,45103010,2
UPLD,45103010,2
USAT,45202030,2
USM,50102010,2
VCRA,35103010,2
VDSI,45103020,2
VEC,20101010,2
VEEV,35103010,2
VG,50101010,2
VHC,45103010,2
VISI,20202010,2
VMW,45103020,2
VNTV,45102020,2
VRNS,45103020,2
VRNT,45103010,2
VRSN,45101010,2
VRTU,45102010,2
VSAT,45201020,2
VSEC,20201070,2
VSR,20201050,2
VZ,50101020,2
WDAY,45103010,2
WDC,45202030,2
WEX,45102020,2
WIFI,50102010,2
WIN,50101020,2
WK,45103010,2
WLDN,20202020,2
WPCS,45102010,2
WSTC,20201060,2
WSTG,45203030,2
WSTL,45201020,2
WYY,45102010,2
XGTI,45201020,2
XRX,45202030,2
ZAYO,50101010,2
ZBRA,45203010,2
ABCB,40101015,3
ACFC,40102010,3
ACNB,40101015,3
AF,40102010,3
AMRB,40101015,3
ANCX,40101015,3
ATLO,40101015,3
BANC,40101015,3
BANR,40101015,3
BCBP,40101015,3
BDGE,40101015,3
BFIN,40102010,3
BHB,40101015,3
BHBK,40101015,3
BHLB,40101015,3
BKJ,40101015,3
BKMU,40102010,3
BKSC,40101015,3
BKU,40101015,3
BLMT,40102010,3
BMRC,40101015,3
BNCL,40102010,3
BNCN,40101015,3
BOCH,40101015,3
BOFI,40102010,3
BRKL,40101015,3
BSF,40102010,3
BSRR,40101015,3
BWFG,40101015,3
BXS,40101015,3
BYBK,40101015,3
CACB,40101015,3
CARO,40101015,3
CART,40101015,3
CARV,40102010,3
CASH,40102010,3
CATY,40101015,3
CBAN,40101015,3
CBF,40101015,3
CBFV,40101015,3
CCNE,40101015,3
CFBK,40102010,3
CFFI,40101015,3
CFFN,40102010,3
CFNB,40101015,3
CHFN,40102010,3
CIVB,40101015,3
CNBKA,40101015,3
CNOB,40101015,3
CSBK,40102010,3
CSFL,40101015,3
CTBI,40101015,3
CUBI,40101015,3
CUNB,40101015,3
CVCY,40101015,3
CVLY,40101015,3
CWAY,40102010,3
CZNC,40101015,3
DCOM,40102010,3
EBMT,40101015,3
EBSB,40102010,3
EBTC,40101015,3
EGBN,40101015,3
ESSA,40102010,3
ESXB,40101015,3
EVBS,40101015,3
EWBC,40101015,3
FBC,40102010,3
FBIZ,40101015,3
FBMS,40101015,3
FBNC,40101015,3
FBNK,40101015,3
FCBC,40101015,3
FCCO,40101015,3
FCCY,40101015,3
FCF,40101015,3
FFIC,40101015,3
FFKT,40101015,3
FFNW,40101015,3
FIBK,40101015,3
FLIC,40101015,3
FMBI,40101015,3
FNLC,40101015,3
FNWB,40101015,3
FRBA,40101015,3
FRBK,40101015,3
FRME,40101015,3
FSB,40101015,3
FSBK,40101015,3
FUNC,40101015,3
GBCI,40101015,3
GBNK,40101015,3
GNBC,40101015,3
GSBC,40101015,3
GWB,40101015,3
HAFC,40101015,3
HBCP,40102010,3
HBHC,40101015,3
HBMD,40101015,3
HBNC,40101015,3
HFBC,40102010,3
HFWA,40101015,3
HIFS,40102010,3
HMNF,40102010,3
HOMB,40101015,3
HTBI,40101015,3
HTBK,40101015,3
HTLF,40101015,3
IBCP,40101015,3
IBOC,40101015,3
IBTX,40101015,3
ICBK,40101015,3
INBK,40101015,3
INDB,40101015,3
ISBC,40101015,3
ISTR,40101015,3
KRNY,40102010,3
LARK,40101015,3
LBAI,40101015,3
LCNB,40101015,3
LION,40101015,3
LTXB,40101015,3
MBTF,40101015,3
MBWM,40101015,3
MCBC,40101015,3
MFNC,40101015,3
MFSF,40101015,3
MLVF,40102010,3
MOFG,40101015,3
MSBF,40102010,3
MSFG,40101015,3
MSL,40101015,3
NBHC,40101015,3
NBN,40101015,3
NBTB,40101015,3
NCOM,40101015,3
NFBK,40102010,3
NKSH,40101015,3
NRIM,40101015,3
NWBI,40102010,3
NWFL,40101015,3
NYCB,40102010,3
OCFC,40102010,3
OLBK,40101015,3
OPB,40101015,3
OPOF,40101015,3
ORIT,40102010,3
ORRF,40101015,3
OSBC,40101015,3
OVLY,40101015,3
OZRK,40101015,3
PACW,40101015,3
PB,40101015,3
PBHC,40102010,3
PBIP,40102010,3
PCBK,40101015,3
PEBK,40101015,3
PEBO,40101015,3
PFBC,40101015,3
PFBI,40101015,3
PFBX,40101015,3
PFIS,40101015,3
PFS,40102010,3
PKBK,40101015,3
PLBC,40101015,3
PMBC,40101015,3
PNFP,40101015,3
PPBI,40101015,3
PROV,40102010,3
PSTB,40101015,3
PWOD,40101015,3
QCRH,40101015,3
RBCAA,40101015,3
RBPAA,40101015,3
RNST,40101015,3
RVSB,40102010,3
SAL,40101015,3
SASR,40101015,3
SBCP,40101015,3
SBNY,40101015,3
SBSI,40101015,3
SFBS,40101015,3
SFNC,40101015,3
SFST,40101015,3
SGBK,40101015,3
SHBI,40101015,3
SIFI,40102010,3
SLCT,40101015,3
SNBC,40101015,3
SONA,40101015,3
SSBI,40101015,3
SSFN,40101015,3
STBZ,40101015,3
STL,40101015,3
SVBI,40102010,3
TBBK,40101015,3
TBNK,40102010,3
TCBI,40101015,3
TCBK,40101015,3
TFSL,40102010,3
THFF,40101015,3
TOWN,40101015,3
TRCB,40101015,3
TREE,40102010,3
TRST,40102010,3
TSBK,40102010,3
UBCP,40101015,3
UBFO,40101015,3
UBNK,40102010,3
UBSH,40101015,3
UBSI,40101015,3
UCBI,40101015,3
UCFC,40102010,3
UMPQ,40101015,3
UNB,40101015,3
UNTY,40101015,3
VBTX,40101015,3
VLY,40101015,3
WABC,40101015,3
WAFD,40102010,3
WAL,40101015,3
WFBI,40101015,3
WSBF,40102010,3
WTBA,40101015,3
XBKS,40101015,3
AEE,55103010,4
AEP,55101010,4
AES,55105010,4
ALE,55101010,4
AMID,10102040,4
AT,55105010,4
ATO,55102010,4
AVA,55103010,4
BKH,55103010,4
BWP,10102040,4
CELP,20201050,4
CEQP,10102040,4
CLNE,10102030,4
CMS,55103010,4
CNNX,10102040,4
CNP,55103010,4
CNX,10102050,4
CPK,55102010,4
CPN,55105010,4
D,55103010,4
DGAS,55102010,4
DM,10102040,4
DTE,55103010,4
DUK,55101010,4
ED,55103010,4
EE,55101010,4
EEP,10102040,4
EEQ,10102040,4
EGAS,55102010,4
EIX,55101010,4
ENBL,10102040,4
ENLC,10102040,4
ENLK,10102030,4
EPD,10102040,4
EQGP,10102040,4
EQM,10102040,4
EQT,10102020,4
ES,55101010,4
ETE,10102040,4
ETR,55101010,4
EXC,55101010,4
FE,55101010,4
GXP,55101010,4
IDA,55101010,4
LNT,55101010,4
MDU,55103010,4
MGEE,55101010,4
MIC,20305010,4
MTRX,10101020,4
MTZ,20103010,4
NEE,55101010,4
NEP,55105020,4
NFG,55102010,4
NGS,10101020,4
NI,55103010,4
NJR,55102010,4
NRG,55105010,4
NWE,55103010,4
NWN,55102010,4
OGE,55101010,4
OGS,55102010,4
OKE,10102040,4
OKS,10102040,4
PCG,55101010,4
PEG,55103010,4
PNM,55101010,4
PNW,55101010,4
POR,55101010,4
PPL,55101010,4
PWR,20103010,4
RGCO,55102010,4
SCG,55103010,4
SEP,10102040,4
SJI,55102010,4
SO,55101010,4
SPH,55102010,4
SPKE,55101010,4
SRE,55103010,4
SRLP,10102040,4
SWX,55102010,4
SXE,10102040,4
SYMX,10101020,4
TCP,10102040,4
TEGP,10102040,4
TEP,10102040,4
TRGP,10102040,4
UGI,55102010,4
UTL,55103010,4
VVC,55103010,4
WEC,55103010,4
WES,10102040,4
WG,10101020,4
WGL,55102010,4
WGP,10102040,4
WMB,10102040,4
WPZ,10102040,4
WR,55101010,4
XEL,55101010,4
ALLY,40202010,5
AMNB,40101015,5
AMP,40203010,5
AROW,40101015,5
ASB,40101015,5
ASRV,40101015,5
BAC,40101010,5
BANF,40101015,5
BBT,40101015,5
BK,40203010,5
BMTC,40101015,5
BOH,40101015,5
BOKF,40101015,5
BPFH,40101015,5
BPOP,40101015,5
BUSE,40101015,5
C,40101010,5
CAC,40101015,5
CBSH,40101015,5
CBU,40101015,5
CCBG,40101015,5
CFG,40101015,5
CFR,40101015,5
CHCO,40101015,5
CHFC,40101015,5
CHMG,40101015,5
CIT,40101015,5
CMA,40101010,5
COBZ,40101015,5
COF,40202010,5
COLB,40101015,5
CPF,40101015,5
CVBF,40101015,5
DFS,40202010,5
EFSC,40101015,5
ETFC,40203020,5
EVER,40102010,5
EVR,40203020,5
FBP,40101015,5
FCNCA,40101015,5
FDEF,40102010,5
FFBC,40101015,5
FFIN,40101015,5
FHN,40101015,5
FISI,40101015,5
FITB,40101015,5
FMNB,40101015,5
FNB,40101015,5
FRC,40101015,5
FULT,40101015,5
GABC,40101015,5
GS,40203020,5
HBAN,40101015,5
HTH,40101015,5
IBKC,40101015,5
JPM,40101010,5
KEY,40101015,5
LKFN,40101015,5
LTS,40203020,5
MBFI,40101015,5
MS,40203020,5
MTB,40101015,5
NHLD,40203020,5
NTRS,40203010,5
OFG,40101015,5
OKSB,40101015,5
ONB,40101015,5
OPY,40203020,5
PBCT,40101015,5
PGC,40101015,5
PNC,40101015,5
PRK,40101015,5
PVTB,40101015,5
RF,40101015,5
RJF,40203020,5
SBCF,40101015,5
SBFG,40101015,5
SCHW,40203020,5
SF,40203020,5
SIVB,40101015,5
SMMF,40101015,5
SNV,40101015,5
SRCE,40101015,5
SSB,40101015,5
STI,40101015,5
SYBT,40101015,5
TBK,40101015,5
TMP,40101015,5
TRMK,40101015,5
TSC,40101015,5
UMBF,40101015,5
USB,40101010,5
UVSP,40101015,5
WASH,40101015,5
WBS,40101015,5
WFC,40101010,5
WSBC,40101015,5
WSFS,40102010,5
WTFC,40101015,5
ZION,40101015,5
AHP,60101030,6
AHT,60101030,6
BYD,25301010,6
CACQ,25301010,6
CHDN,25301010,6
CHH,25301020,6
CHSP,60101030,6
CLDT,60101030,6
CNTY,25301010,6
CZR,25301010,6
DDE,25301010,6
DRH,60101030,6
ERI,25301010,6
FCH,60101030,6
FLL,25301010,6
