symbol,gics8,hier.text_068
DGI,20101010,46
DGICA,40301040,15
DGII,45201020,3
DGLY,45203010,63
DGX,35102015,20
DHI,25201030,41
DHIL,40203010,21
DHR,35101010,20
DHX,45101010,5
DIN,25301040,51
DIOD,45301020,40
DIS,25401030,52
DISCA,25401020,52
DISH,25401025,31
DJCO,25401040,8
DK,10102030,55
DKL,10102040,55
DKS,25504040,30
DLA,25203010,30
DLB,45203015,46
DLHC,20202010,0
DLR,60101080,24
DLTR,25503020,43
DLX,20201010,3
DM,10102040,27
DMLP,10102020,53
DMRC,45103010,18
DNB,20202020,8
DNKN,25301040,51
DNOW,20107010,8
DNR,10102020,19
DO,10101010,29
DOC,60101050,24
DOOR,20102010,16
DOV,20106020,11
DOW,15101020,16
DPLO,35102015,0
DPS,30201030,6
DPW,20104010,40
DPZ,25301040,43
DRAD,35102015,2
DRAM,45202030,3
DRE,60101020,24
DRH,60101030,37
DRI,25301040,51
DRNA,35201010,4
DRQ,10101020,29
DRRX,35202010,4
DSPG,45301020,3
DSS,45103020,3
DST,45102020,8
DSW,25504010,30
DTE,55103010,27
DUK,55101010,27
DV,25302010,50
DVA,35102015,2
DVAX,35201010,4
DVCR,35102020,36
DVD,25301030,6
DVN,10102020,25
DWCH,45103010,8
DWSN,10101020,3
DX,40204010,10
DXCM,35101010,2
DXLG,25504010,30
DXPE,20107010,8
DXYN,25201020,16
DY,20103010,23
DYNT,35101010,2
DYSL,45203010,12
EA,45103030,6
EARN,40204010,10
EAT,25301040,51
EBAY,45101010,7
EBF,20201010,3
EBIO,35201010,4
EBIX,45103010,15
EBMT,40101015,44
EBS,35201010,4
EBSB,40102010,44
EBTC,40101015,44
ECHO,20301010,33
ECL,15101050,34
ECOL,20201050,47
ECOM,45101010,8
ECPG,40202010,7
ECR,10102020,19
ECT,10102020,53
ECYT,35202010,9
ED,55103010,27
EDGW,45102010,8
EDR,60101060,22
EDUC,25501010,46
EE,55101010,54
EEFT,45102020,38
EEI,20201050,23
EEP,10102040,25
EEQ,10102040,25
EFC,40203010,10
EFII,45202030,3
EFOI,20104010,65
EFSC,40101015,39
EFX,20202020,8
EGAN,45101010,7
EGAS,55102010,27
EGBN,40101015,28
EGHT,45103010,56
EGL,20101010,18
EGLT,35202010,4
EGN,10102020,19
EGOV,45101010,8
EGP,60101020,24
EGRX,35201010,4
EGY,10102020,19
EHTH,40301010,0
EIG,40301040,15
EIGI,45101010,7
EIX,55101010,27
EL,30302010,6
ELGX,35101020,2
ELLI,45103010,7
ELMD,35101010,6
ELON,45203020,3
ELS,60101060,22
ELY,25202010,6
EMAN,45203020,3
EMCI,40301040,15
EME,20103010,23
EMES,10102030,11
EMKR,45201020,12
EML,20106020,18
EMMS,25401020,46
EMN,15101020,16
EMR,20104010,26
ENBL,10102040,25
ENG,10101020,23
ENLC,10102040,25
ENLK,10102030,25
ENOC,45103010,8
ENPH,20104010,3
ENR,30301010,11
ENRJ,10102020,19
ENS,20104010,11
ENSG,35102020,36
ENSV,10101020,49
ENT,25401030,3
ENTA,35201010,4
ENTG,45301010,13
ENTL,35101010,2
ENV,45101010,21
ENZ,35203010,20
EOG,10102020,19
EPAM,45102010,8
EPAY,45103010,38
EPD,10102040,25
EPE,10102020,19
EPM,10102020,19
EPR,60101080,6
EPZM,35201010,9
EQC,60101040,24
EQGP,10102040,14
EQIX,60101080,56
EQM,10102040,14
EQR,60101060,62
EQT,10102020,14
ERA,10101020,11
ERI,25301010,66
