tic,weburl
WTT,www.wirelesstelecomgroup.com
RIGL,www.rigel.com
CCMP,www.cabotcmp.com
KKD,www.krispykreme.com
SEB,www.seaboardcorp.com
PVTB,www.theprivatebank.com
CHSP,www.chesapeakelodgingtrust.com
SUP,www.supind.com
RELV,www.reliv.com
MCHP,www.microchip.com
ASBB,www.ashevillesavingsbank.com
3STAF,www.staffing360solutions.com
CARV,www.carverbank.com
SRE,www.sempra.com
REPH,www.recropharma.com
DENN,www.dennys.com
FTAI,NULL
EMC,www.emc.com
FXCM,www.fxcm.com
THG,www.hanover.com
RALY,www.rallydev.com
ECOM,www.channeladvisor.com
HCAP,www.harvestcapitalcredit.com
CHMI,www.chmireit.com
FFIC,www.flushingbank.com
IVAC,www.intevac.com
SBGI,www.sbgi.net
AMRB,www.americanriverbank.com
TDG,www.transdigm.com
FMC,www.fmc.com
FARM,www.farmerbroscousa.com
TTS,www.tileshop.com
JOUT,www.johnsonoutdoors.com
OGEN,www.oragenics.com
CHEV,www.cheviotsavings.com
BCR,www.crbard.com
POWR,www.powersecure.com
LFVN,www.lifevantage.com
CASS,www.cassinfo.com
BBBY,www.bedbathandbeyond.com
HMNY,www.hmny.com
CUO,www.continental-materials.com
MXIM,www.maxim-ic.com
BID,www.sothebys.com
OXGN,www.oxigene.com
PEIX,www.pacificethanol.net
SFBS,www.servisfirstbank.com
AROW,www.arrowfinancial.com
CPF,www.centralpacificbank.com
RVSB,www.riverviewbank.com
LINE,www.linnenergy.com
DISCA,corporate.discovery.com
MCZ,www.madcatz.com
SLTD,www.solar3d.com
LQDT,www.liquidityservicesinc.com
LGCY,www.legacylp.com
MPAA,www.motorcarparts.com
AKS,www.aksteel.com
AEO,www.ae.com
PFBC,www.preferredbank.com
INFI,www.infi.com
DST,www.dstsystems.com
CWST,www.casella.com
3CSBB,www.csb1.com
JOB,www.generalemployment.com
MCBK,www.madisoncountybank.com
HCKT,www.thehackettgroup.com
GLUU,www.glu.com
CNK,www.cinemark.com
JMP,www.jmpg.com
DFS,www.discoverfinancial.com
CCUR,www.ccur.com
MBVT,www.mbvt.com
INFU,www.infusystem.com
XRX,www.xerox.com
ASB,www.associatedbank.com
PRTO,www.proteontherapeutics.com
ANN,www.anninc.com
SIEN,www.sientra.com
JUNO,www.junotherapeutics.com
CRL,www.criver.com
DLA,www.deltaapparelinc.com
MJN,www.meadjohnson.com
HL,www.hecla-mining.com
HRC,www.hill-rom.com
HOV,www.khov.com
USAP,www.univstainless.com
SCSS,www.selectcomfort.com
BGG,www.briggsandstratton.com
NRIM,www.northrim.com
DVD,www.dovermotorsports.com
WLB,www.westmoreland.com
ZAYO,www.zayo.com
DERM,www.dermira.com
GKNT,www.geek.net
OESX,www.oriones.com
CKP,www.checkpointsystems.com
CCF,www.chasecorp.com
SHAK,www.shakeshack.com
FLKS,www.flex-pharma.com
TIK,www.telinstrument.com
DFT,www.dft.com
NI,www.nisource.com
RTIX,www.rtisurgical.com
LLEX,www.lilisenergy.com
3SCIO,www.sciodiamond.com
NFG,www.nationalfuelgas.com
BRX,www.brixmor.com
IRT,www.irtreit.com/index.php
CPXX,www.celatorpharma.com
CBFV,www.communitybank.tv
MC,www.moelis.com
ALSN,www.allisontransmission.com
JCP,www.jcpenney.com
FNFV,www.investor.fnf.com
SRDX,www.surmodics.com
RSE,www.rouseproperties.com
IDSY,www.id-systems.com
HOFT,www.hookerfurniture.com
SJI,www.sjindustries.com
FRGI,www.frgi.com
SN,www.sanchezenergycorp.com
LMOS,www.lumosnetworks.com
COF,www.capitalone.com
RCMT,www.rcmt.com
IHT,www.innsuitestrust.com
ISIS,www.isispharm.com
CHKE,www.thecherokeegroup.com
CWAY,www.coastway.com
NDRO,www.enduroroyaltytrust.com
IMPV,www.imperva.com
TWIN,www.twindisc.com
UNT,www.unitcorp.com
USEG,www.usnrg.com
VFC,www.vfc.com
CNC,www.centene.com
ARPI,www.amresprop.com
ECYT,www.endocyte.com
OFS,www.ofscapital.com
ENTA,www.enanta.com
TXTR,www.texturacorp.com
ESBK,www.elmirasavingsbank.com
NTAP,www.netapp.com
MWE,www.markwest.com
ENZN,www.enzon.com
FCEL,www.fuelcellenergy.com
CCL,www.carnivalcorp.com
FUN,www.cedarfair.com
IRET,www.iret.com
OHAI,www.ohainvestmentcorporation.com
FRC,www.firstrepublic.com
LEA,www.lear.com
CF,www.cfindustries.com
EE,www.epelectric.com
CGI,www.celadontrucking.com
CBR,www.ciber.com
DWSN,www.dawson3d.com
ODP,www.officedepot.com
ANIK,www.anikatherapeutics.com
THRM,www.gentherm.com
FLIR,www.flir.com
MBWM,www.mercbank.com
PGNX,www.progenics.com
CCO,www.clearchanneloutdoor.com
URG,www.ur-energy.com
WAVX,www.wavesys.com
MTSN,www.mattson.com
EVOL,www.evolving.com
MENT,www.mentor.com
SIEB,www.siebertnet.com
MSCC,www.microsemi.com
SIRO,www.sirona.com
ALEX,www.alexanderbaldwin.com
CRBP,www.corbuspharma.com
MCF,www.contango.com
AFFX,www.affymetrix.com
ACPW,www.activepower.com
VRSK,www.verisk.com
VSR,www.versar.com
IOT,www.incomeopp-realty.com
LIFE,www.atyrpharma.com
EDGW,www.edgewater.com
GCAP,www.gaincapital.com
WMK,www.weismarkets.com
AAON,www.aaon.com
FOR,www.forestargroup.com
COKE,www.cokeconsolidated.com
KO,www.cocacola.com
COHR,www.coherent.com
CMA,www.comerica.com
SUM,www.summit-materials.com
OCC,www.occfiber.com
PFBI,NULL
VSI,www.vitaminshoppe.com
LPLA,www.lpl.com
ULTA,www.ulta.com
LL,www.lumberliquidators.com
NOC,www.northropgrumman.com
MOBL,www.mobileiron.com
ECR,www.eclipseresources.com
TRUE,www.truecar.com
IGTE,www.igate.com
UBFO,www.unitedsecuritybank.com
TCPC,www.tcpcapital.com
UBSH,www.ubsh.com
ADMS,www.adamaspharma.com
VTG,www.vantagedrilling.com
AMC,www.amctheatres.com
NCR,www.ncr.com
NATH,www.nathansfamous.com
THFF,www.first-online.com
FLIC,www.fnbli.com
SFXE,www.sfxii.com
MUSA,www.murphyusa.com
CHGG,www.chegg.com
FATE,www.fatetherapeutics.com
RNG,www.ringcentral.com
HCI,www.hcigroup.com
DGI,www.digitalglobe.com
TMO,www.thermofisher.com
ABAX,www.abaxis.com
ACFN,www.acornenergy.com
DRRX,www.durect.com
CEMI,www.chembio.com
TPC,www.tutorperini.com
GPRO,www.gopro.com
ADPT,www.adhc.com
PFNX,www.pfenex.com
SHLX,www.shellmidstreampartners.com
DPLO,diplomat.is
BBCN,www.narabank.com
GOV,www.govreit.com
WAC,www.walterinvestment.com
